,Location,Total Cases,Total Deaths,Total Recovered
18747,Kalimantan Tengah,44028,1338,39091
18748,Kalimantan Timur,153311,5201,143602
18749,Kalimantan Utara,33032,715,29257
18750,Kepulauan Bangka Belitung,48779,1287,43955
18751,Kepulauan Riau,52747,1680,50059
18752,Lampung,47597,3606,41062
18753,Maluku,14378,254,13755
18754,Maluku Utara,11848,301,11255
18755,Nusa Tenggara Barat,26462,750,24888
18756,Nusa Tenggara Timur,60684,1236,57294
18757,Papua,32840,522,19978
18758,Papua Barat,22618,346,22072
18759,Riau,125276,3872,118111
18760,Sulawesi Barat,11775,319,10721
18761,Sulawesi Selatan,106172,2107,100476
18762,Sulawesi Tengah,44076,1443,38610
